Subject,et_sampling_rate,et_flag1,et_flag2,et_LR_mean_diff,et_percent_over02,ecg_sampling_rate,ecg_average_heart_rate,ecg_kurtosis_SQI,ecg_power_spectrum_distribution_SQI,ecg_relative_baseline_power_sqi,ecg_SNR,eda_sampling_rate,eda_signal_integrity_check,eda_average_scl,eda_scl_sd,eda_scl_cv,eda_average_scr_amplitude,eda_sc_validity,eda_snr,rsp_sampling_rate,rsp_rsp_snr,rsp_breath_amplitude_mean,rsp_breath_amplitude_std,rsp_breath_amplitude_range,rsp_rsp_rate_mean,rsp_rsp_rate_std,rsp_rsp_rate_range,rsp_ptp_mean,rsp_ptp_std,rsp_ptp_range,rsp_baseline_drift,rsp_autocorrelation,mic_sampling_rate,mic_lsl_wav_duration_diff,mic_num_NaN,mic_percent_NaN,mic_quan25,mic_quan75,mic_std,mic_min,mic_max,webcam_collected_full_RestingState,webcam_sampling_rate,webcam_face_perc,behavior_missing_stimulus_markers,behavior_total_duration,behavior_unexpected_durations,behavior_impedance_check_duration,behavior_ten_seconds_rest,behavior_average_response_time
P5597531,119.99597223956559,True,True,0.12245399361213821,0.007346580063990772,599.5584586162964,77.57921111561615,17.321374775016025,0.7741080413669413,32.00785707711602,9.477462290252237,599.5584586162964,100.0,6.363666459871822,0.9836035313511836,15.456553820876959,0.8373497815284203,100.0,48.32483353517907,600.4145472535788,10.319597384324084,0.5368660437539946,0.4304140133818716,0.0976 - 2.8437,20.212583262515615,2.391024795492441,8.1499 - 27.5811,3.165143657450551,3.3781917357566886,0.4730 - 82.3933,0.08266531201187306,0.09371934258157835,44097.30533124567,0.11899999999991451,0,0.0,-35.0,35.0,136.49343094159093,-6672,4976,True,29.967392667530625,0.5394883203559511,,39:01,"['Onset_CampFriend', 'Onset_FrogDissection', 'Onset_DanceContest', 'Onset_ZoomClass', 'Onset_Tornado', 'Onset_BirthdayParty']",04:42,True,00:34
P5882302,119.99586160597286,True,True,0.009968834598201526,0.04722543515671284,999.7872778660745,76.83019740476108,9.447244789202726,0.7386379549179376,19.11755089639917,9.129206971703915,999.7872778660745,100.0,3.4538905194003315,0.9257058292380149,26.801828953128982,0.012136487606792652,33.33333333333334,54.191313284148265,1000.2160368978896,-2.2313846680045875,0.34569753880551984,0.299888328955345,0.0717 - 2.6935,19.577376334072753,2.953642729984398,3.7634 - 29.2573,3.070503074122157,1.2067130001329591,0.4271 - 14.5336,0.2341272968820966,0.5720711044793361,44099.286227852324,0.03500000000030923,0,0.0,-46.0,45.0,160.07768896742604,-10403,10068,True,29.89572542350607,0.8182831661092531,,39:57,"['Onset_CampFriend', 'Onset_FrogDissection', 'Onset_DanceContest', 'Onset_ZoomClass', 'Onset_Tornado', 'Onset_BirthdayParty']",07:30,True,00:28
P5070899,119.99574091501347,True,True,0.04812672361606252,0.03729215003866976,500.14558143487386,60.41199378159254,0.11842223696817822,0.9600878083282905,1.9885655104482636,3.6311300980508543,500.14558143487386,100.0,0.2796871938361699,0.01519650324344804,5.433392582268022,0.0014726274918827717,0.0,23.218203259385326,500.14558143487386,13.999734150276005,0.48957396587077456,0.21026061230662346,0.1243 - 1.5212,21.98622000079768,2.793200964346426,11.4035 - 27.3694,2.9005163753015,1.110785581094312,0.7278 - 13.4341,0.038244615954413995,0.04247338019795156,44099.22962833667,0.03300000000012915,0,0.0,-26.0,26.0,134.62492863136788,-8675,7355,True,30.045840636375896,0.7130144605116796,,35:23,,05:34,True,00:23
P5029423,119.99572540959531,True,True,0.01974049642583553,0.005905541316306189,499.763081521899,75.14156700063958,17.069716310214208,0.7850940529612601,27.355245034492746,10.588019092958028,499.763081521899,100.0,6.854796284014803,0.599685039452749,8.748400603110525,0.25602128875494695,93.75,49.41028689959818,499.763081521899,10.695068749300876,0.31502252117620183,0.22513956138861901,0.0702 - 2.4789,18.647658532548405,2.569218363409857,10.9080 - 27.5082,3.450425643263918,1.2493793288936144,0.5563 - 11.0953,0.037260041113710625,0.1058740319215434,44098.09766853276,0.08400000000006003,0,0.0,-31.0,30.0,145.26085936225874,-8098,7274,True,30.040601306370288,1.0,,36:51,,06:23,True,00:32
P5548165,119.99594709554933,True,True,0.032412338630650406,0.0011717049981587492,599.7197417792389,91.35346248003165,15.296083885342213,0.7702810397091755,19.487460785982304,10.065223257261998,599.7197417792389,100.0,2.316942990952962,0.8318128463132023,35.9013082998247,0.04289029609250577,50.0,51.72055283345574,599.9484411977604,11.912383067257075,0.768528362142115,0.4358813354299491,0.1667 - 2.8846,20.169390781238196,2.4785833825710224,12.8715 - 27.8880,2.8614546768395566,1.9691717146227834,0.6051 - 41.8934,0.08275101229554754,0.03275990689928559,44099.34282751327,0.037000000000261934,0,0.0,-37.0,38.0,142.26066313953342,-8106,7418,True,30.034116309164347,0.18222222222222223,,41:48,"['Onset_CampFriend', 'Onset_FrogDissection', 'Onset_DanceContest', 'Onset_ZoomClass', 'Onset_Tornado', 'Onset_BirthdayParty']",04:27,True,00:52
